Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Year
Aus,Comilla,459425,220465,1977
Aus,Dhaka,394620,162935,1977
Aus,Dinajpur,458780,167045,1977
Aus,Faridpur,554605,118205,1977
Aus,Jessore,637130,273115,1977
Aus,Khulna,109320,46255,1977
Aus,Kishoregonj,233025,102005,1977
Aus,Kushtia,351520,135620,1977
Aus,Mymensingh,714730,304055,1977
Aus,Noakhali,312290,166645,1977
Aus,Pabna,367750,113160,1977
Aus,Patuakhali,139115,47395,1977
Aus,Rajshahi,477060,181435,1977
Aus,Rangpur,976000,329220,1977
Aus,Sylhet,350000,174110,1977
Aus,Tangail,289310,114690,1977
Aus,Bakergonj,457465,176125,1978
Aus,Bogra,292100,120680,1978
Aus,Chittagong,217115,154065,1978
Aus,Chittagong H.T.,90675,38480,1978
Aus,Comilla,464690,237135,1978
Aus,Dhaka,380420,160060,1978
Aus,Dinajpur,497925,201895,1978
Aus,Faridpur,551100,150380,1978
Aus,Jessore,619325,261270,1978
Aus,Khulna,110175,50365,1978
Aus,Kishoregonj,205575,83750,1978
Aus,Kushtia,370125,151070,1978
Aus,Mymensingh,722490,328815,1978
Aus,Noakhali,329880,170765,1978
Aus,Pabna,387125,129340,1978
Aus,Patuakhali,140565,49670,1978
Aus,Rajshahi,0,171035,1978
Aus,Rangpur,996550,349205,1978
